Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of dissidents and opposition political candidates in Ghana,1/20/2022,Believed to be the work of Ghana's government,"The Israeli spyware firm NSO Group sold Pegasus spyware to the government of Ghana, which used the tools to spy on political opponents and dissidents. Ghana's intelligence agency launched an investigation into the spyware allegations. NSO Group has claimed that although Ghana bought the spyware, it was never actually used in the country.?",Denial   https://www.haaretz.com/israel-news/tech-news/nso-ghana-op-exposed-never-before-seen-pegasus-spyware-footage-workers-passports-1.10553725,Political dissidents and opposition leaders in Ghana,Ghana,Espionage,Civil society,https://www.haaretz.com/israel-news/tech-news/2022-01-20/ty-article/nso-ghana-op-exposed-never-before-seen-pegasus-spyware-footage-workers-passports/0000017f-f1fb-df98-a5ff-f3ffb9a20000,,
Targeting of Ukrainian state entities,3/7/2022,UNC1151,"The Belarusian threat actor UNC1151 targeted multiple Ukrainian government agencies with a backdoor called MicroBackdoor. The malware??as delivered via phishing emails that included a bait image and files containing malicious code. The backdoor and loader were created in January 2022, before Russia?? invasion of Ukraine.??",,Ukrainian state entities,Belarus,Espionage,Government,https://cert.gov.ua/article/37626,,
Targeting of Russian and Belarusian websites,5/4/2022,Ukrainian IT Army,Ukraine?? IT Army compromised Docker Engine honeypots in an attempt to execute distributed denial-of-service (DDoS) attacks against Russian and Belarusian websites.,,"Russian and Belarusian websites were targeted, including those belonging to government, military, media, finance, energy, retail, mining, manufacturing, chemicals, production, technology, advertisements, agriculture, transportation, and political parties.",Ukraine,Denial of service,"Government, Private sector, Civil society",https://www.crowdstrike.com/blog/compromised-docker-honeypots-used-for-pro-ukrainian-dos-attack/,,
Targeting of the Belgian Federal Public Service Interior in Chinese espionage campaign,7/18/2022,Zirconium,Chinese threat actors targeted the Belgian Federal Public Service Interior as part of a wide-ranging cyberespionage campaign involving multiple threat actors. Belgian authorities condemned the activity.,Denouncement   https://diplomatie.belgium.be/en/news/declaration-minister-foreign-affairs-malicious-cyber-activities,Belgian Federal Public Service Interior,China,Espionage,Government,https://diplomatie.belgium.be/en/news/declaration-minister-foreign-affairs-malicious-cyber-activities,https://www.bleepingcomputer.com/news/security/belgium-says-chinese-hackers-attacked-its-ministry-of-defense/,
Targeting of Ukrainian government agencies,8/11/2022,Gamaredon,"The Computer Emergency Response Team of Ukraine found that Gamaredon had been breaking into Ukrainian government email accounts.
?",Confirmation,Ukrainian government agencies,Russian Federation,Espionage,Government,https://cert.gov.ua/article/2681855,,
Targeting of Palestinian entities and activists,2/2/2022,APT-C-23,The Hamas-linked threat actor APT-C-23 used malware embedded in politically themed decoy files and documents to install backdoors on the systems of targeted Palestinian individuals and organizations.??,,,,Espionage,Civil society,https://www.cyberscoop.com/palestinian-targeted-arid-viper-hamas/,https://blog.talosintelligence.com/2022/02/arid-viper-targets-palestine.html,
Targeting of government agencies in the European Union,4/5/2022,Gamaredon,"Russian threat actor Gamaredon targeted Ukrainian organizations in a phishing campaign. The hackers sent malicious emails with lures related to the Russia-Ukraine conflict, including attachments labeled ??nformation on war criminals of the Russian Federation??and ??ecessary_military_assistance.??The emails contained malware which allowed Russian operators to conduct espionage.",Confirmation   https://cert.gov.ua/article/39086,Government agencies of EU member states,Russian Federation,Espionage,Government,https://www.bleepingcomputer.com/news/security/ukraine-spots-russian-linked-armageddon-phishing-attacks/,,
Targeting of Rostec,5/19/2022,Believed to be the work of the Chinese government,"A Chinese threat actor targeted two research institutes run by Rostec, a major Russian state-owned defense conglomerate. The attackers used spear-phishing lures to plant malware and steal data on Russian radar and electronic warfare capabilities.",,Two research institutes run by Rostec,China,Espionage,Government,https://blog.checkpoint.com/2022/05/19/twisted-panda-check-point-research-unveils-a-chinese-apt-espionage-campaign-against-russian-state-owned-defense-institutes/,,
Targeting of Albanian government,8/4/2022,Believed to be the work of the Iranian government,"Iranian threat actors targeted Albanian government networks with ransomware. The attack appears to have been motivated by Albania?? hosting a conference for the People?? Mojahedin Organization of Iran, a group previously listed as a terrorist organization by the European Union (EU) and United States and dedicated to opposing the Iranian regime.",Denouncement   https://twitter.com/JasonMBrodsky/status/1567465232083165184?s=20&amp;t=nJqgodp_ASXIZWex6LR3Ig,Albanian government networks,Iran (Islamic Republic of),Data destruction,Government,https://www.mandiant.com/resources/blog/likely-iranian-threat-actor-conducts-politically-motivated-disruptive-activity-against?1=,https://www.cisa.gov/uscert/ncas/alerts/aa22-264a,
Targeting of users of cryptocurrency applications,12/3/2022,Lazarus Group,"North Korean hacking group Lazarus created a fake brand called BloxHolder to spread fake cryptocurrency apps that would infect users with AppleJeus malware to steal money and cryptocurrency. The campaign was active from June to at least October 2022.
?",Unknown,Cryptocurrency applications,Korea (Democratic People's Republic of),Financial Theft,Private sector,https://www.volexity.com/blog/2022/12/01/buyer-beware-fake-cryptocurrency-applications-serving-as-front-for-applejeus-malware/,https://www.bleepingcomputer.com/news/security/hackers-use-new-fake-crypto-app-to-breach-networks-steal-cryptocurrency/,
